Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
CLO-HPNUP,CLO2 Chandra Layout Circle,INTAX Income Tax Layout,2,2,100.0,1,1,100.0
YHKOT-PTNDN,YHK1 Yelahanka Old Town,NES NES Office,2,3,66.66667,4,5,80.0
SBS-GECLUP,DMLUR Domlur (Towards HAL),GOLDNE CS-Golden Enclave,2,2,100.0,1,1,100.0
45FUP,Corpo Corporation (Towards KR Market),KTGP Kathriguppe,6,6,100.0,1,1,100.0
BSK-HSKUP,KTPR Kathriguppe,HSKRH Hoskerehalli,2,2,100.0,1,1,100.0
MLPH-YHKOTDN,SNH Singanayakanahalli Gate,NES1 NES Office,2,2,100.0,5,5,100.0
BSK-SGHDN,BSKTTMC1 Banashankari TTMC,JTTMC Jayanagara TTMC,2,3,66.66667,25,27,92.59259
D35-TVKUP,CNNHL Channenahalli (Towards Tavarakere),TVK3 Tavarekere,2,3,66.66667,7,10,70.0
CKA-PPLODN,PDMN Padmanabha Nagara,UTRC Uttarahalli Circle,2,2,100.0,13,13,100.0
V-500WUP,VYDHS White Field TTMC (Vydehi Hospital),ITL ITPL,3,16,18.75,2,2,100.0
SRN-BKCDN,BTLCLG BTL College,ELC Electronic City (Towards Bommanahalli),2,3,66.66667,1,1,100.0
SJHBS-PNNUP,INDNH Indira Nursing Home,PDMN Padmanabha Nagara,3,5,60.000004,1,1,100.0
CMNR-YTTMCDN,CPRI2 CPRI,YTTMC1 Yashawanthapura TTMC,2,2,100.0,2,2,100.0
MEIL-PSSDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC4 Jalahalli Cross,2,2,100.0,16,16,100.0
YNRS-KMTDN,MLESHW 8th Cross Malleshwaram (Margosa Road),KRM4 KR Market,4,4,100.0,1,1,100.0
KRM-HBPSUP,KRMB1 1st Block Koramangala,KDG Kudlu Gate,2,3,66.66667,1,1,100.0
DML-HSRBDAUP,MTBG Military Bridge,MDWMK Madivala,3,4,75.0,1,1,100.0
ELC-UTH-CKAUP,CKSDRC Chikkallasandra Aralimara (Towards Gowdanapalya),CHAKTU Channammanakere Achukattu,15,15,100.0,1,1,100.0
VNC-KMSUP,ADSN Adarshanagara,ARSK Arishinakunte (Towards Nelamangala),2,2,100.0,1,1,100.0
SGH-VBLUP,BLKLLI Bilekahalli,VJENKAP Vijaya Enclave Apartment,2,2,100.0,3,3,100.0
210-HADN,BKNDRC Indian Express,SBS1 Shivajinagara Bus Station,2,18,11.111112,9,9,100.0
D06-DBSUP,KFCIPDR Police Station Indiranagara,DPOHLI Dhoopanahalli,2,3,66.66667,3,3,100.0
290-KAUP,ABCLLG Arebic College,NGW Nagavara,2,8,25.0,2,2,100.0
YSTF-BEMLGUP,KSTRR Kasthuri Nagara Ring Road,BNGB Benniganahalli Bridge,3,9,33.333336,1,1,100.0
RTN-HBLUP,RTN12 Police Station RT Nagara ,HBL Hebbala (Towards Yalahanka),2,2,100.0,2,2,100.0
SBS-RYLUP,COLPK Coles Park (Towards Doddy),D10G2 Depot-10 Gate,4,5,80.0,1,1,100.0
BSK-PNNUP,BSKTTMC1 Banashankari TTMC,KDHPRK Kadirenahalli Park,2,2,100.0,6,6,100.0
KBS-IND6THMUP,RICHMD Richmond Circle,MYH1 Mayohall,2,2,100.0,1,1,100.0
NICE-5DN,KNPA1 Konappana Agarhara,KGR1 Kengeri TTMC,6,7,85.71429,9,12,75.0
Eco Space-KBSDN,AGRA Agara (Towards Hebbala),JKS Jakkasandra,2,2,100.0,1,1,100.0
RVTH-D35DN,JPT0 Janapriya Township,KDBGC Kadabagere Cross,2,3,66.66667,2,2,100.0
406UP,BSVH3 Basavanahalli,NMG0 Nelamangala Bus Station,2,27,7.4074073,5,5,100.0
BTM-VSDDN,ASHKPLR Ashoka Pillar,MNRVC Minerva Circle,2,6,33.333336,1,1,100.0
UST-Depot-12UP,VPS1 Vidyaniketan Public School,RVC RV College,2,2,100.0,1,1,100.0
BMBS-DPJNUP,MLGL Malagala,VJN1 Vijayanagara,2,3,66.66667,3,4,75.0
399-DDN,YMRI Yamare,DMSCR1 Dommasandra Circle (Towards Muttanallur Cross),3,4,75.0,1,1,100.0
KCH-D35DN,KDGC Kadabagere Cross,D35G Depot-35 Gate,3,3,100.0,2,2,100.0
D31G-NNBUP,KTP Kottigepalya,PPRP Papareddypalya,2,2,100.0,1,1,100.0
BRGD-SNBSUP,OPRBT1 Brigade Road,SNTTMC Shanthinagara TTMC,2,2,100.0,11,11,100.0
ILO-D34 GateDN,KKC Konanakunte Cross,KNC Hari Nagara Cross,2,2,100.0,1,1,100.0
NRC-CLODN,CHRP Chamarajapet (Towards TR Mill),SCRLE Sirsi Circle,2,2,100.0,2,2,100.0
GJR-MPHUP,GNGR1 Gunjuru (Towards Varthuru Kodi),VRTGTC Varthuru Govt College,2,4,50.0,1,1,100.0
SRN-SJPUP,SURNR Surya Nagara,CPR2 Chandapura (Towards Dommasandra),2,2,100.0,12,12,100.0
PSN-CLODN,SVN Srinivasa Nagara PattegarPalya ,VJN1 Vijayanagara,2,2,100.0,3,3,100.0
STP-YTTMCDN,RTN12 Police Station RT Nagara ,YTTMC Yashawanthapura TTMC,2,2,100.0,4,4,100.0
55-BUP,KRMARK KR Market,KMPAGAR Kempapura Agarahara,3,3,100.0,1424,2020,70.49505
CRL-PPLODN,MHSMD Mahesh Medicals,UTRC Uttarahalli Circle,2,2,100.0,1,1,100.0
BSB-D06UP,BPH1 Bayyappanahalli Metro Station,ISOLH Isolation Hospital,2,3,66.66667,4,5,80.0
GKW-SHMTUP,MGDTLG Magadi Road TollGate ,RJNESI ESI Hospital Rajajinagara (Towards Navarang),2,3,66.66667,11,14,78.57143
KGNSP-SNBSDN,KPGWDN Kempegowda Nagara Swimming Pool,NRR North Road,2,2,100.0,1,1,100.0
CKH-D34 GateDN,CHMKMHLI Chikka Kammanahalli,D34GTE Depot-34 Gate,3,3,100.0,51,62,82.258064
LGR-PRPPUP,CHWNG LB Samudaya Bhavana,KTP Kottigepalya,2,2,100.0,50,50,100.0
KAH-D38DN,HUSK Huskur (Towards Chikkanagamangala Gate),D38CHNH Depot-38 Gate,2,2,100.0,1,1,100.0
MRH-PTHUP,MTDB Marathahalli Bridge,DND12 Dodda Nekkundi (Towards Hebbala),2,3,66.66667,1,1,100.0
CPR-D34 GateDN,BLKLLI Bilekahalli,HMGT Hulimavu Gate (Towards Meenakshi Temple),2,2,100.0,1,1,100.0
228-KDN,BPN Bapujinagara,KBS123 Kempegowda Bus Station,2,4,50.0,10,13,76.92308
TTN-RTNPDN,HBL1 Hebbala (Towards RM Guttahalli),RTNPS1 Police Station RT Nagara ,2,2,100.0,1,1,100.0
NLO-ISCKON-YPRTTMCDN,NLO1 Nandini Layout Bus Stand,GVTSF Govt Soap Factory,2,3,66.66667,35,42,83.33333
V-HBL-KBSDN,RMGTH1 RM Guttahalli,KBS123 Kempegowda Bus Station,3,3,100.0,1,1,100.0
SNBS-BRGD G3UP,SNTTMC3 Shanthinagara TTMC,RICHMD Richmond Circle,2,3,66.66667,3,4,75.0
KRMTTMC-KMT-140DN,Corpo Corporation (Towards KR Market),KRMC1 KR Market,2,2,100.0,17,17,100.0
DRDO2-KRPDN,tinf Tin Factory,KRPG KR Puram Govt Hospital,4,5,80.0,37,48,77.08333
HKRGATE-D38UP,HSKGT1 Huskur Gate,SGHNA12 Singena Agrahara Cross Fruits Market ,2,2,100.0,1,1,100.0
MTR-KGR 200DUP,RVC RV College,KGR2 Kengeri TTMC,2,2,100.0,5,5,100.0
KBR-RTNDN,KBR Kaval Byrasandra,RTN12 Police Station RT Nagara ,2,2,100.0,1,1,100.0
KMLW-BEML5 210UBDN,VSTPR Vasanthapura,UTH1 Uttarahalli,2,5,40.0,36,45,80.0
SJHS-SBSUP,STJOSPH CS-St Joseph Boys High School Musuem Road ,SBS1 Shivajinagara Bus Station,2,2,100.0,1,1,100.0
356-EWUP,SIA1 SI Apartment HSR Layout,ELCE Electronic City East Phase-II ,3,3,100.0,3,4,75.0
PTH-TDLUP,YST Yelahanka Satellite Town,ATL1 Atturu Layout,2,2,100.0,1,1,100.0
KHB-RTNPDN,MKC Mekhri Circle,RTNPS1 Police Station RT Nagara ,2,2,100.0,1,1,100.0
D31G-NGHNUP,SKK Sunkadakatte,MDWN1 Mahadeshwara Nagara,2,3,66.66667,20,23,86.95652
YHKOT-ACSHDN,MRTH Maruthi Nagara,NGW1 Nagavara,3,4,75.0,1,1,100.0
401-CUP,MRTALY Mallathahalli Cross,RRT RR Temple,2,3,66.66667,4,5,80.0
NRG-HLSDN,RSNDN Neelasandra Rose Garden,ASTWN Austin Town,2,3,66.66667,1,1,100.0
25-DUP,ASPLR Ashoka Pillar,JTTMC Jayanagara TTMC,2,2,100.0,22,22,100.0
HBL-RMG-SBSUP,HBL1 Hebbala (Towards RM Guttahalli),MKC1 Mekhri Circle,2,2,100.0,1,1,100.0
443-ADN,CMRJPT Chamarajapet (Towards Ganesh Bhavana),KRMARK KR Market,2,2,100.0,2,2,100.0
V-201RUP,BAGMTECH Bagmane Tech Park,CVRMG CV Raman Nagara (Towards Kaggadasapura),4,21,19.047619,2,2,100.0
KGR-BHELLMTUP,KGR2 Kengeri TTMC,BGSHM BGS Health City Gate Abhiman Studio,2,2,100.0,12,12,100.0
BHCCL-BEML 5UP,BHELCL BHEL Concord Layout,BHELC BHEL Layout Cross,2,2,100.0,3,3,100.0
KIAS-10UP,SDHG1 Sadahalli Gate,KIAS Kempegowda International Airport,2,12,16.666668,3,3,100.0
ELCW-MRHBDN,ROPAG Rupena Agrahara,D-25 Depot-25 Gate (Towards Hebbala),2,3,66.66667,1,1,100.0
SGH-ILOUP,JBS4thB Jayanagara 4th Block,BSKTTMC1 Banashankari TTMC,2,3,66.66667,5,6,83.33333
STP-RTNDN,STP Sultanpalya,RTN12 Police Station RT Nagara ,2,2,100.0,7,7,100.0
KGR-UTH-BSK-KDGUP,PTAGC Pattandur Agrahara Gate,KDG0 Kadugodi Bus Station,3,25,12.0,2,2,100.0
YST-RMG-KHCDN,NES1 NES Office,MKC1 Mekhri Circle,3,4,75.0,1,1,100.0
PPLO-CSBSUP,UTRCL Uttarahalli Circle,CKBS Chikkallasandra,2,2,100.0,1,1,100.0
MBEP-KBSDN,HBLB Hebbala Bridge (Towards Bhadrappa Layout),KBS123 Kempegowda Bus Station,3,3,100.0,6,7,85.71429
